Country 	County 	City 	Airport 	Latitude 	Longitude 	Altitude 	ICAO 	IATA
Algeria 	- 	Hamaguir 	Hamaguir 	N30* 52.7402' 	W03* 04.0648' 	747.98M 	DA0A 	-
Algeria 	- 	Hamaguir 	Hamaguir 	N30* 52.7402' 	W03* 04.0648' 	747.98M 	DA11 	-
Algeria 	- 	Hassi Messaoud 	Oued Irara-Krim Belkacem 	N31* 40.4333' 	E06* 08.4333' 	139.90M 	DAUH 	HME
Algeria 	- 	Hassi R Mel 	Hassi R Mel 	N32* 55.8259' 	E03* 18.6925' 	774.19M 	DAFH 	-
Algeria 	- 	Illizi 	Illizi 	N26* 34.4140' 	E08* 29.0194' 	541.93M 	DA10 	-
Algeria 	- 	Illizi 	Takhamalt 	N26* 43.4167' 	E08* 37.0667' 	541.93M 	DAAP 	VVZ
Algeria 	- 	In Guezzam 	In Guezzam 	N19* 34.1333' 	E05* 44.9333' 	399.90M 	DATG 	-
Algeria 	- 	In Salah 	In Salah 	N27* 15.2167' 	E02* 30.6000' 	273.10M 	DAUI 	INZ
Algeria 	- 	Jijel 	Ferhat Abbas 	N36* 47.6667' 	E05* 52.4166' 	10.97M 	DAAV 	GJL
Algeria 	- 	Laghouat 	Laghouat 	N33* 45.8415' 	E02* 55.6378' 	765.05M 	DAUL 	LOO
Algeria 	- 	Mecheria 	Mecheria 	N33* 32.1512' 	W00* 14.5412' 	1175.00M 	DAAY 	-
Algeria 	- 	Mostaganem 	Mostaganem 	N35* 54.4500' 	E00* 09.1757' 	223.11M 	DA0E 	-
Algeria 	- 	Mostaganem 	Mostaganem 	N35* 54.5284' 	E00* 08.9630' 	223.11M 	DA14 	-
Algeria 	- 	Oran 	Es Senia 	N35* 37.6333' 	W00* 36.6833' 	89.92M 	DAOO 	ORN
Algeria 	- 	Ouargla 	Ouargla 	N31* 56.0000' 	E05* 25.0000' 	149.96M 	DAUU 	OGX
Algeria 	- 	Reggane 	Reggane 	N26* 42.6062' 	E00* 17.1388' 	291.08M 	DAAN 	-
Algeria 	- 	Relizane 	Relizane 	N35* 45.1344' 	E00* 37.5763' 	85.95M 	DAAZ 	QZN
Algeria 	- 	Saida 	Saida 	N34* 53.8317' 	E00* 09.1016' 	744.93M 	DA0F 	-
Algeria 	- 	Saida 	Saida 	N34* 53.8317' 	E00* 09.1016' 	744.93M 	DA15 	-
Algeria 	- 	Setif Ain Arnat 	Setif Ain Arnat 	N36* 10.6877' 	E05* 19.4696' 	1024.13M 	DAAS 	QSF
Algeria 	- 	Sidi Bel Abbes 	Sidi Bel Abbes 	N35* 10.3065' 	W00* 35.5965' 	491.95M 	DAOS 	-
Algeria 	- 	Tafaraoui 	Tafaraoui 	N35* 32.5467' 	W00* 31.9367' 	111.86M 	DAOL 	TAF
Algeria 	- 	Tamanrasset 	Aguenar 	N22* 48.6667' 	E05* 27.0500' 	1377.09M 	DAAT 	TMR
Algeria 	- 	Tebessa 	Cheikh Larbi Tebessi 	N35* 25.9500' 	E08* 07.5333' 	811.07M 	DABS 	TEE
Algeria 	- 	Telerghma 	Telerghma 	N36* 06.5218' 	E06* 21.8760' 	757.12M 	DAAM 	-
Algeria 	- 	Tiaret 	A. Boussouf Ain Bouchekif 	N35* 20.4833' 	E01* 28.0167' 	989.08M 	DAOB 	TID
Algeria 	- 	Timimoun 	Timimoun 	N29* 14.4667' 	E00* 17.0167' 	313.03M 	DAUT 	TMX
Algeria 	- 	Tindouf 	Tindouf 	N27* 42.0223' 	W08* 10.0262' 	442.87M 	DAOF 	TIN
Algeria 	- 	Tindouf East 	Tindouf East 	N27* 35.1553' 	W07* 30.0068' 	434.34M 	DA0G 	-
Algeria 	- 	Tindouf East 	Tindouf East 	N27* 35.1553' 	W07* 30.0068' 	434.34M 	DA16 	-
Algeria 	- 	Tinfouchy 	Tinfouchy 	N28* 52.7593' 	W05* 49.3740' 	549.86M 	DA0D 	-
Algeria 	- 	Tinfouchy 	Tinfouchy 	N28* 52.7593' 	W05* 49.3740' 	549.86M 	DA13 	-
Algeria 	- 	Tlemcen 	Zenata-Messali El Hadj 	N35* 00.9167' 	W01* 27.0500' 	248.11M 	DAON 	TLM
Algeria 	- 	Touggourt 	Sidi Mahdi 	N33* 03.6000' 	E06* 05.2333' 	158.80M 	DAUK 	TGR
Algeria 	- 	Zarzaitine 	In Amenas 	N28* 03.0833' 	E09* 38.5667' 	562.97M 	DAUZ 	IAM
American Samoa 	- 	Ofu, American Samoa 	Ofu Village Apt. 	S14* 11.2000' 	W169* 40.0000' 	3.96M 	Z08 	-
American Samoa 	- 	Pago Pago 	Pago Pago Intl 	S14* 19.8997' 	W170* 42.6902' 	9.75M 	NSTU 	-
American Samoa 	- 	Tau Island, American Sam 	Fitiuta Apt. 	S14* 12.9665' 	W169* 25.4130' 	33.53M 	FAQ 	-
American Samoa 	- 	Tau Village 	Tau 	S14* 13.7500' 	W169* 30.6667' 	56.39M 	HI36 	-
Angola 	- 	Ambriz 	Ambriz 	S07* 53.0000' 	E13* 09.0000' 	43.89M 	FNAM 	-
Angola 	- 	Benguela 	17th Of November 	S12* 36.0000' 	E13* 24.0000' 	35.97M 	FNBG 	BUG
Angola 	- 	Cabinda 	Cabinda 	S05* 35.0000' 	E12* 12.0000' 	20.12M 	FNCA 	CAB
Angola 	- 	Cabo Ledo 	Cabo Ledo 	S09* 39.1830' 	E13* 15.6390' 	109.73M 	FN0C 	-
Angola 	- 	Cabo Ledo 	Cabo Ledo 	S09* 39.1830' 	E13* 15.6390' 	14.02M 	FN19 	-
Angola 	- 	Cahama 	Cahama 	S16* 14.2556' 	E14* 19.6061' 	1203.05M 	FN0A 	-
Angola 	- 	Cahama 	Cahama 	S16* 14.2556' 	E14* 19.6061' 	1203.05M 	FN17 	-
Angola 	- 	Catumbela 	Catumbela 	S12* 28.7717' 	E13* 29.2367' 	3.05M 	FNCT 	-
Angola 	- 	Dundo 	Dundo 	S07* 24.0535' 	E20* 49.1089' 	747.06M 	FNDU 	-
Angola 	- 	Huambo 	Albano Machado 	S12* 48.3000' 	E15* 45.3000' 	1702.92M 	FNHU 	NOV
Angola 	- 	Kuito 	Bie 	S12* 24.0000' 	E16* 57.0000' 	1712.06M 	FNKU 	SVP
Angola 	- 	Lobito 	Lobito 	S12* 22.0000' 	E13* 32.0000' 	3.05M 	FNLB 	-
Angola 	- 	Luanda 	4th Of February 	S08* 51.3295' 	E13* 14.0347' 	7.01M 	FNLU 	LAD
Angola 	- 	Lubango 	Lubango 	S14* 56.0000' 	E13* 35.0000' 	1761.13M 	FNUB 	-
Angola 	- 	Luena 	Luena 	S11* 46.2669' 	E19* 53.3940' 	1330.15M 	FNUE 	-
Angola 	- 	Luzamba 	Luzamba 	S09* 06.9574' 	E18* 02.9606' 	885.14M 	FNLZ 	-
Angola 	- 	M'banza Congo 	M'banza Congo 	S06* 16.0000' 	E14* 15.0000' 	413.92M 	FNBC 	SSY
Angola 	- 	Malange 	Malange 	S09* 31.0000' 	E16* 19.0000' 	1178.97M 	FNMA 	MEG
Angola 	- 	Maquela 	Maquela 	S06* 02.0000' 	E15* 08.0000' 	929.64M 	FNMQ 	-
Angola 	- 	Matala 	Matala 	S14* 43.6528' 	E15* 00.8404' 	1255.78M 	FN0B 	-
Angola 	- 	Matala 	Matala 	S14* 43.6528' 	E15* 00.8404' 	1255.78M 	FN18 	-
Angola 	- 	Menongue 	Menongue 	S14* 39.0000' 	E17* 44.0000' 	1406.96M 	FNME 	SPP
Angola 	- 	N'giva 	N'giva 	S17* 03.0000' 	E15* 42.0000' 	1087.22M 	FNGI 	NGV
Angola 	- 	N'zeto 	N'zeto 	S07* 13.3214' 	E12* 52.4833' 	21.03M 	FNZE 	-
Angola 	- 	Namibe 	Namibe 	S15* 13.0000' 	E12* 10.0000' 	52.12M 	FNMO 	MSZ
Angola 	- 	Negage 	Negage 	S07* 45.0000' 	E15* 18.0000' 	895.81M 	FNNG 	GXG
Angola 	- 	Nzagi 	Nzagi 	S07* 43.0166' 	E21* 21.4900' 	740.97M 	FNZG 	-
Angola 	- 	Porto Amboim 	Porto Amboim 	S10* 43.0000' 	E13* 46.0000' 	4.88M 	FNPA 	-
Angola 	- 	Saurimo 	Saurimo 	S09* 42.0000' 	E20* 26.0000' 	1092.40M 	FNSA 	VHC
Angola 	- 	Saurimo 	Saurimo North 	S09* 26.0584' 	E20* 18.7333' 	1060.09M 	Z00N 	-
Angola 	- 	Soyo 	Soyo 	S06* 07.0000' 	E12* 22.0000' 	4.57M 	FNSO 	-
Angola 	- 	Sumbe 	Sumbe 	S11* 10.0000' 	E13* 51.0000' 	10.97M 	FNSU 	-
Angola 	- 	Uige 	Uige 	S07* 36.0000' 	E15* 02.0000' 	829.06M 	FNUG 	UGO
Angola 	- 	Wako Kungo 	Wako Kungo 	S11* 27.0000' 	E15* 05.0000' 	1317.65M 	FNWK 	-
Angola 	- 	Xangongo 	Xangongo 	S16* 45.0000' 	E14* 58.0000' 	1108.25M 	FNXA 	XGN
Anguilla 	- 	The Valley 	Wallblake 	N18* 12.2833' 	W63* 03.3000' 	31.70M 	TQPF 	AXA
Antarctica 	- 	Base Marambio 	Base Marambio 	S64* 13.0000' 	W56* 38.0000' 	.00M 	SAWB 	-
Antarctica 	- 	McMurdo Station 	McMurdo Station 	S77* 52.0000' 	E166* 29.0000' 	.30M 	NZIR 	-
Antarctica 	- 	McMurdo Station 	McMurdo Station 	S77* 52.0000' 	E167* 04.0000' 	21.95M 	NZWD 	-
Antarctica 	- 	McMurdo Station 	McMurdo Station 	S77* 57.9158' 	E166* 31.3856' 	5.49M 	NZPG 	-
Antarctica 	- 	Palmer Station 	Palmer Station 	S64* 45.2900' 	W64* 01.8800' 	45.42M 	NZ0B 	-
Antarctica 	- 	Palmer Station 	Palmer Station 	S64* 46.5002' 	W64* 03.2665' 	45.42M 	NZ12 	-
Antarctica 	- 	Petrel 	Petrel 	S63* 28.7205' 	W56* 12.0103' 	4.57M 	NZ0A 	-
Antarctica 	- 	Petrel 	Petrel 	S63* 28.7383' 	W56* 13.8767' 	4.57M 	SA47 	-
Antarctica 	- 	South Pole Station 	South Pole Station 	S89* 59.9998' 	E00* 00.0000' 	2834.64M 	NZSP 	-
Antigua and Barbuda 	- 	Barbuda 	Cocoa Point 	N17* 33.1000' 	W61* 46.1000' 	4.57M 	COCO 	-
Antigua and Barbuda 	- 	Barbuda 	Codrington 	N17* 36.5000' 	W61* 50.6000' 	4.57M 	TAPH 	-
Antigua and Barbuda 	- 	Barbuda 	Codrington 	N17* 37.0000' 	W61* 50.0000' 	4.88M 	CODR 	-
Antigua and Barbuda 	- 	St Johns 	V C Bird Intl 	N17* 08.2000' 	W61* 47.5667' 	18.29M 	TAPA 	ANU
Argentina 	- 	Alferez Armando Rodriguez 	Alferez Armando Rodriguez 	S24* 43.2820' 	W60* 32.9302' 	129.84M 	SATK 	LLS
Argentina 	- 	Alto Rio Senguerr 	D.Casimiro Szlapelis 	S45* 01.0000' 	W70* 48.0000' 	697.08M 	SAVR 	-
Argentina 	- 	Andalgala 	Andalgala 	S27* 37.6867' 	W66* 20.5050' 	900.07M 	SA0Z 	-
Argentina 	- 	Andalgala 	Andalgala 	S27* 37.6867' 	W66* 20.5050' 	900.07M 	SA35 	-
Argentina 	- 	Apostoles 	Apostoles 	S27* 54.1945' 	W55* 45.9308' 	177.09M 	SA23 	-
Argentina 	- 	Apostoles 	Apostoles 	S27* 54.1951' 	W55* 45.9320' 	177.09M 	SA0N 	-
Argentina 	- 	Bahia Blanca 	Comandante Espora NAS 	S38* 43.2167' 	W62* 09.4500' 	74.98M 	SAZB 	BHI
Argentina 	- 	Belen 	Belen 	S27* 42.4760' 	W67* 05.7035' 	1200.00M 	SA1I 	-
Argentina 	- 	Belen 	Belen 	S27* 42.4760' 	W67* 05.7035' 	1200.00M 	SA44 	-
Argentina 	- 	Bella Vista 	Bella Vista 	S28* 31.5733' 	W59* 02.3117' 	54.86M 	SA0Q 	-
Argentina 	- 	Bella Vista 	Bella Vista 	S28* 31.5733' 	W59* 02.3117' 	54.86M 	SA26 	-
Argentina 	- 	Bolivar 	Bolivar 	S36* 12.0000' 	W61* 04.0000' 	93.88M 	SAZI 	-
Argentina 	- 	Buenos Aires 	Don Torcuato 	S34* 29.8667' 	W58* 36.3333' 	4.88M 	SADD 	-
Argentina 	- 	Buenos Aires 	El Palomar 	S34* 36.4000' 	W58* 36.0000' 	17.98M 	SADP 	-
Argentina 	- 	Buenos Aires 	Ezeiza Intl Ministro Pistarini 	S34* 49.3333' 	W58* 32.1500' 	20.12M 	SAEZ 	EZE
Argentina 	- 	Buenos Aires 	Jorge Newbery Aeroparque 	S34* 33.5333' 	W58* 24.9833' 	5.49M 	SABE 	AEP
Argentina 	- 	C Faa H R Borden 	C Faa H R Borden 	S41* 19.2542' 	W69* 34.4917' 	892.15M 	SA1B 	-
Argentina 	- 	C Faa H R Borden 	C Faa H R Borden 	S41* 19.2542' 	W69* 34.4917' 	892.15M 	SA37 	-
Argentina 	- 	Calilegua 	Calilegua 	S23* 46.8334' 	W64* 44.8333' 	442.87M 	SA0O 	-
Argentina 	- 	Calilegua 	Calilegua 	S23* 46.8334' 	W64* 44.8333' 	442.87M 	SA24 	-
Argentina 	- 	Campo Arenal 	Campo Arenal 	S27* 04.3370' 	W66* 35.1660' 	2324.10M 	SA0B 	-
Argentina 	- 	Campo Arenal 	Campo Arenal 	S27* 04.3370' 	W66* 35.1660' 	2324.10M 	SA11 	-
Argentina 	- 	Campo De Mayo 	Campo De Mayo 	S34* 32.0663' 	W58* 40.3042' 	24.08M 	SADO 	-
Argentina 	- 	Canadon Seco 	Canadon Seco 	S46* 32.3419' 	W67* 33.8310' 	89.92M 	SA0P 	-
Argentina 	- 	Canadon Seco 	Canadon Seco 	S46* 32.3419' 	W67* 33.8310' 	89.92M 	SA25 	-
Argentina 	- 	Catamarca 	Catamarca 	S28* 35.1833' 	W65* 45.2000' 	463.91M 	SANC 	CTC
Argentina 	- 	Cataratas Del Iguazu 	Mayor D Carlos Eduardo Krause 	S25* 44.2333' 	W54* 28.4000' 	279.20M 	SARI 	IGR
Argentina 	- 	Caviahue 	Caviahue 	S37* 51.0266' 	W71* 00.5869' 	1659.94M 	SA1H 	-
Argentina 	- 	Caviahue 	Caviahue 	S37* 51.0825' 	W71* 00.5548' 	1659.94M 	SA43 	-
Argentina 	- 	Ceres 	Ceres 	S29* 51.7833' 	W61* 52.3667' 	86.87M 	SANW 	-
Argentina 	- 	Chilecito 	Chilecito 	S29* 14.0000' 	W67* 26.0000' 	950.06M 	SANO 	-
Argentina 	- 	Choele Choel 	Choele Choel 	S39* 17.1853' 	W65* 36.6195' 	195.99M 	SA0T 	-
Argentina 	- 	Choele Choel 	Choele Choel 	S39* 17.1853' 	W65* 36.6195' 	195.99M 	SA29 	-
Argentina 	- 	Chos Malal 	Chos Malal 	S37* 26.6815' 	W70* 13.3481' 	850.09M 	SAHC 	HOS
Argentina 	- 	Clorinda 	Clorinda 	S25* 18.0000' 	W57* 44.0000' 	60.96M 	SATC 	-
Argentina 	- 	Colonia Catriel 	Colonia Catriel 	S37* 54.5852' 	W67* 49.8550' 	313.03M 	SA0U 	-
Argentina 	- 	Colonia Catriel 	Colonia Catriel 	S37* 54.5852' 	W67* 49.8550' 	313.03M 	SA30 	-
Argentina 	- 	Comandante Luis Piedrabuena 	Comandante Luis Piedrabuena 	S49* 59.1660' 	W68* 56.6257' 	23.77M 	SA33 	-
Argentina 	- 	Comandante Luis Piedrabuena 	Comandante Luis Piedrabuena 	S49* 59.7053' 	W68* 57.1849' 	23.77M 	SA0X 	-
Argentina 	- 	Comodoro Rivadavia 	Gen. Enrique Mosconi Intl 	S45* 47.1167' 	W67* 27.9333' 	57.91M 	SAVC 	CRD
Argentina 	- 	Concordia 	Comodoro Pierrestegui 	S31* 17.7583' 	W57* 59.5583' 	34.75M 	SAAC 	COC
Argentina 	- 	Cordoba 	Area De Material 	S31* 26.5333' 	W64* 15.4667' 	485.85M 	SACA 	-
Argentina 	- 	Cordoba 	Escuela De Aviacion Mil 	S31* 26.8000' 	W64* 17.0000' 	502.01M 	SACE 	-
Argentina 	- 	Cordoba 	Ing Aeron Ambrosio Lv Taravell 	S31* 18.6000' 	W64* 12.5000' 	488.90M 	SACO 	COR
Argentina 	- 	Coronel Olmedo 	Coronel Olmedo 	S31* 29.0000' 	W64* 09.0000' 	431.90M 	SACD 	-
Argentina 	- 	Coronel Suarez 	Brig D Hector Eduardo Ruiz 	S37* 26.0000' 	W61* 53.0000' 	234.09M 	SACZ 	-
Argentina 	- 	Corrientes 	Corrientes 	S27* 26.7333' 	W58* 45.7167' 	61.57M 	SARC 	CNQ
Argentina 	- 	Cullen 	Cullen 	S52* 53.1033' 	W68* 24.7333' 	39.93M 	Z00S 	-
Argentina 	- 	Curuzu Cuatia 	Curuzu Cuatia 	S29* 46.3099' 	W57* 57.9735' 	74.98M 	SATU 	UZU
Argentina 	- 	Cutral-Co 	Cutral-Co 	S38* 56.0000' 	W69* 15.0000' 	649.83M 	SAZW 	CUT
Argentina 	- 	Dolores 	Dolores 	S36* 19.2184' 	W57* 43.3050' 	10.06M 	SAZD 	-
Argentina 	- 	El Bolson 	El Bolson 	S41* 58.0000' 	W71* 31.0000' 	345.03M 	SAVB 	EHL
Argentina 	- 	El Calafate 	El Calafate 	S50* 16.8152' 	W72* 03.1930' 	203.91M 	SAWC 	ECA
Argentina 	- 	El Colorado 	El Colorado 	S26* 18.9705' 	W59* 20.3715' 	75.90M 	SA1F 	-
Argentina 	- 	El Colorado 	El Colorado 	S26* 18.9705' 	W59* 20.3715' 	75.90M 	SA41 	-
Argentina 	- 	El Maiten 	El Maiten 	S42* 02.0000' 	W71* 09.0000' 	718.11M 	SAVD 	-
Argentina 	- 	El Turbio 	28 De Noviembre 	S51* 36.5500' 	W72* 13.2167' 	276.15M 	SAWT 	-
Argentina 	- 	Eldorado 	Eldorado 	S26* 24.0000' 	W54* 34.0000' 	209.09M 	SATD 	-
Argentina 	- 	Esquel 	Esquel 	S42* 54.4167' 	W71* 08.6500' 	786.99M 	SAVE 	EQS
Argentina 	- 	Estancia Don Panos 	Estancia Don Panos 	S26* 17.7557' 	W59* 32.1187' 	79.86M 	SA10 	-
Argentina 	- 	Estancia Don Panos 	Estancia Don Panos 	S26* 17.7776' 	W59* 32.2523' 	79.86M 	SA0A 	-
Argentina 	- 	Estancia La Estrella 	Estancia La Estrella 	S37* 33.5653' 	W58* 39.9604' 	138.99M 	SA0D 	-
Argentina 	- 	Estancia La Estrella 	Estancia La Estrella 	S37* 33.5653' 	W58* 39.9604' 	138.99M 	SA13 	-
Argentina 	- 	Fiambala 	Fiambala 	S27* 38.5303' 	W67* 37.4845' 	1524.00M 	SA1K 	-
Argentina 	- 	Fiambala 	Fiambala 	S27* 38.5303' 	W67* 37.4845' 	1524.00M 	SA46 	-
Argentina 	- 	Formosa 	Formosa 	S26* 12.7667' 	W58* 13.6833' 	58.83M 	SARF 	FMA
Argentina 	- 	Frias 	Frias 	S28* 37.8000' 	W65* 06.7500' 	330.10M 	SA1J 	-
Argentina 	- 	General Alvear 	General Alvear 	S35* 04.0000' 	W67* 42.0000' 	454.15M 	SAMA 	-
Argentina 	- 	General Pico 	General Pico 	S35* 41.2500' 	W63* 44.5000' 	139.60M 	SAZG 	GPO
Argentina 	- 	General Roca 	General Roca 	S38* 59.0000' 	W67* 36.0000' 	284.99M 	SAHR 	-
Argentina 	- 	Gobernador Gordillo 	Chamical 	S30* 20.3667' 	W66* 17.6500' 	458.11M 	SACT 	GGS
Argentina 	- 	Gobernador Gregores 	Gobernador Gregores 	S48* 47.0167' 	W70* 09.6500' 	356.01M 	SAWR 	-
Argentina 	- 	Goya 	Goya 	S29* 06.2667' 	W59* 13.0333' 	39.01M 	SATG 	OYA
Argentina 	- 	Gualeguaychu 	Gualeguaychu 	S33* 00.6500' 	W58* 36.7500' 	22.86M 	SAAG 	GHU
Argentina 	- 	Isla Martin Garcia 	Isla Martin Garcia 	S34* 10.9273' 	W58* 14.8146' 	2.13M 	Z02C 	-
Argentina 	- 	Jose De San Martin 	Jose De San Martin 	S44* 03.5000' 	W70* 26.0000' 	730.91M 	SAWS 	-
Argentina 	- 	Juarez 	Juarez 	S37* 42.0000' 	W59* 47.0000' 	212.14M 	SAZJ 	-
Argentina 	- 	Jujuy 	Gobernador Horacio Guzman 	S24* 23.5667' 	W65* 05.8667' 	920.19M 	SASJ 	JUJ
Argentina 	- 	Jujuy Aeroclub 	Jujuy Aeroclub 	S24* 14.1883' 	W65* 16.1432' 	1234.14M 	SA1D 	-
Argentina 	- 	Jujuy Aeroclub 	Jujuy Aeroclub 	S24* 14.1883' 	W65* 16.1432' 	1234.14M 	SA39 	-
Argentina 	- 	Junin 	Junin 	S34* 32.5000' 	W60* 56.0333' 	81.99M 	SAAJ 	JNI
Argentina 	- 	La Cumbre 	La Cumbre 	S31* 00.0000' 	W64* 32.0000' 	1138.12M 	SACC 	-
